time,heat_source,k_eff,max_heat_source,max_tally_rel_err
0,0,0,0,0
1,2083.33,1.3101790146305,5.0038365819315,0.0079219902013944
2,2083.33,1.3070847635343,5.021101690606,0.0093207129604085
3,2083.33,1.3069838980502,5.0113116844061,0.0078806657654078
4,2083.33,1.3061991981638,4.9712295283466,0.0082886250961741
5,2083.33,1.3069822914766,4.9668255235826,0.0086624518681428
6,2083.33,1.3071659146949,5.0093407334779,0.0080044932795687
7,2083.33,1.3064519435702,5.0076383842804,0.0072318382344059
8,2083.33,1.3060412289826,4.9698324558625,0.007877890817582
9,2083.33,1.3055409165741,5.007039099782,0.0079388572552246
10,2083.33,1.3066210577542,5.0191697936986,0.0083477476677843
