time,avg_T_clad,avg_T_fuel,max_T,max_T_clad,max_T_fuel,source_integral
0,0,0,0,0,0,0
1,294.78499999993,294.78499999989,296.51481176058,296.51481176058,296.51291879844,2083.33
2,322.278940381,330.39070810993,358.92427132546,336.09726428027,358.92427132546,2083.33
3,322.27894038058,330.39070810877,359.08022488058,336.19867321904,359.08022488058,2083.33
4,322.27894038058,330.39070810876,359.11294869004,336.21979763628,359.11294869004,2083.33
5,322.27894038058,330.39070810874,358.63370627531,335.91013595881,358.63370627531,2083.33
6,322.27894038057,330.39070810872,358.59410596837,335.88372753566,358.59410596837,2083.33
7,322.27894038057,330.39070810872,359.09217978005,336.20591229811,359.09217978005,2083.33
8,322.27894038059,330.39070810877,359.09458407039,336.20745116749,359.09458407039,2083.33
9,322.27894038057,330.39070810873,358.56352942413,335.86458633739,358.56352942413,2083.33
10,322.27894038058,330.39070810876,358.99533297188,336.14506650634,358.99533297188,2083.33
