step,t_star,outlet_bulk_T_K,max_T_K,min_T_K,energy_closure_pct,mass_imbalance_pct
0,0.0000,293.0000,293.000,293.000,0.000,0.00000
100,0.1465,293.0034,295.954,293.000,0.095,0.01177
200,0.2932,293.0069,297.238,292.991,0.192,0.06395
300,0.4399,293.0104,298.194,292.934,0.291,0.09749
400,0.5866,293.0140,298.956,292.820,0.392,0.11211
500,0.7333,293.0177,299.576,292.672,0.495,0.11797
600,0.8800,293.0214,300.259,292.510,0.599,0.12028
700,1.0267,293.0252,300.945,292.350,0.705,0.12116
800,1.1734,293.0290,301.590,292.202,0.812,0.12150
900,1.3201,293.0329,302.197,292.073,0.920,0.12162
1000,1.4668,293.0368,302.764,291.960,1.029,0.12165
1100,1.6135,293.0407,303.290,291.866,1.140,0.12165
1200,1.7601,293.0447,303.781,291.790,1.251,0.12165
1300,1.9068,293.0487,304.234,291.725,1.363,0.12166
1400,2.0535,293.0527,304.649,291.671,1.477,0.12166
1500,2.2002,293.0568,305.027,291.628,1.591,0.12166
1600,2.3469,293.0609,305.369,291.596,1.706,0.12167
1700,2.4936,293.0651,305.676,291.571,1.822,0.12167
1800,2.6403,293.0693,305.951,291.552,1.939,0.12167
1900,2.7870,293.0735,306.195,291.537,2.057,0.12166
2000,2.9337,293.0777,306.411,291.527,2.176,0.12166
2100,3.0804,293.0820,306.600,291.519,2.295,0.12166
2200,3.2271,293.0863,306.765,291.513,2.415,0.12167
2300,3.3738,293.0906,306.908,291.510,2.537,0.12167
2400,3.5204,293.0950,307.031,291.507,2.659,0.12167
2500,3.6671,293.0993,307.300,291.505,2.781,0.12167
2600,3.8138,293.1038,307.599,291.504,2.905,0.12168
2700,3.9605,293.1082,307.931,291.504,3.029,0.12168
2800,4.1072,293.1127,308.254,291.504,3.154,0.12168
2900,4.2539,293.1172,308.569,291.505,3.280,0.12168
3000,4.4006,293.1217,308.874,291.505,3.407,0.12168
3100,4.5473,293.1262,309.168,291.506,3.534,0.12168
3200,4.6940,293.1308,309.450,291.507,3.662,0.12168
3300,4.8407,293.1354,309.719,291.508,3.791,0.12168
3400,4.9874,293.1400,309.978,291.509,3.921,0.12168
3500,5.1341,293.1447,310.227,291.510,4.051,0.12168
3600,5.2808,293.1494,310.462,291.511,4.182,0.12168
3700,5.4274,293.1541,310.685,291.512,4.314,0.12168
3800,5.5741,293.1588,310.897,291.513,4.446,0.12169
3900,5.7208,293.1635,311.101,291.513,4.579,0.12169
4000,5.8675,293.1683,311.293,291.514,4.713,0.12169
4100,6.0142,293.1731,311.473,291.515,4.847,0.12169
4200,6.1609,293.1779,311.641,291.515,4.982,0.12169
4300,6.3076,293.1828,311.797,291.516,5.118,0.12169
4400,6.4543,293.1877,311.943,291.516,5.254,0.12169
4500,6.6010,293.1926,312.148,291.516,5.391,0.12169
4600,6.7477,293.1975,312.363,291.517,5.529,0.12170
4700,6.8944,293.2024,312.571,291.517,5.667,0.12170
4800,7.0411,293.2074,312.789,291.517,5.806,0.12170
4900,7.1877,293.2124,313.002,291.517,5.946,0.12170
5000,7.3344,293.2174,313.211,291.517,6.086,0.12170
5100,7.4811,293.2224,313.416,291.517,6.227,0.12170
5200,7.6278,293.2275,313.615,291.517,6.369,0.12170
5300,7.7745,293.2325,313.811,291.517,6.511,0.12170
5400,7.9212,293.2376,314.001,291.517,6.653,0.12171
5500,8.0679,293.2427,314.186,291.517,6.797,0.12171
5600,8.2146,293.2479,314.366,291.517,6.940,0.12170
5700,8.3613,293.2530,314.558,291.517,7.085,0.12170
5800,8.5080,293.2582,314.751,291.517,7.230,0.12170
