pin_index,power_W,normalized_to_average
0,76.919,0.03692
1,388.274,0.18637
2,602.188,0.28905
3,605.442,0.29061
4,378.595,0.18173
5,75.595,0.03629
6,377.946,0.18141
7,1075.147,0.51607
8,1560.921,0.74924
9,1797.630,0.86286
10,1797.641,0.86287
11,1545.992,0.74208
12,1075.865,0.51642
13,377.238,0.18107
14,377.911,0.18140
15,1316.784,0.63206
16,2040.777,0.97957
17,2560.562,1.22907
18,2820.849,1.35401
19,2835.394,1.36099
20,2566.022,1.23169
21,2044.958,0.98158
22,1316.117,0.63174
23,372.995,0.17904
24,77.219,0.03707
25,1086.843,0.52168
26,2052.166,0.98504
27,2835.629,1.36110
28,3398.033,1.63106
29,3701.220,1.77659
30,3697.381,1.77474
31,3418.299,1.64078
32,2834.880,1.36074
33,2049.437,0.98373
34,1070.744,0.51396
35,75.300,0.03614
36,386.387,0.18547
37,1570.329,0.75376
38,2575.403,1.23619
39,3423.731,1.64339
40,4001.625,1.92078
41,4339.019,2.08273
42,4332.871,2.07978
43,4016.983,1.92815
44,3408.177,1.63592
45,2566.769,1.23205
46,1565.686,0.75153
47,383.335,0.18400
48,607.726,0.29171
49,1793.590,0.86092
50,2831.795,1.35926
51,3722.372,1.78674
52,4336.384,2.08146
53,4687.254,2.24988
54,4679.815,2.24631
55,4331.255,2.07900
56,3695.487,1.77383
57,2830.843,1.35880
58,1812.432,0.86997
59,603.545,0.28970
60,609.661,0.29264
61,1806.643,0.86719
62,2832.647,1.35967
63,3712.696,1.78209
64,4338.983,2.08271
65,4696.623,2.25438
66,4680.725,2.24675
67,4346.824,2.08648
68,3697.901,1.77499
69,2837.608,1.36205
70,1805.666,0.86672
71,610.848,0.29321
72,389.708,0.18706
73,1572.631,0.75486
74,2572.419,1.23476
75,3412.411,1.63796
76,4025.253,1.93212
77,4358.018,2.09185
78,4369.301,2.09726
79,4033.415,1.93604
80,3407.145,1.63543
81,2561.921,1.22972
82,1565.538,0.75146
83,380.537,0.18266
84,76.642,0.03679
85,1082.857,0.51977
86,2059.979,0.98879
87,2837.817,1.36215
88,3419.667,1.64144
89,3719.831,1.78552
90,3727.861,1.78937
91,3414.216,1.63882
92,2853.358,1.36961
93,2062.254,0.98988
94,1085.837,0.52120
95,76.975,0.03695
96,380.908,0.18284
97,1318.774,0.63301
98,2056.730,0.98723
99,2577.789,1.23734
100,2847.365,1.36674
101,2845.864,1.36601
102,2580.276,1.23853
103,2051.990,0.98496
104,1325.082,0.63604
105,377.663,0.18128
106,380.670,0.18272
107,1088.355,0.52241
108,1560.794,0.74918
109,1809.781,0.86869
110,1824.655,0.87583
111,1547.134,0.74262
112,1081.721,0.51923
113,377.294,0.18110
114,75.715,0.03634
115,381.622,0.18318
116,606.508,0.29112
117,610.487,0.29303
118,384.754,0.18468
119,77.926,0.03740
