z_lower_cm,z_upper_cm,power_W,power_fraction
-30.0000,-27.0000,2547.47,0.010190
-27.0000,-24.0000,5709.44,0.022838
-24.0000,-21.0000,8410.23,0.033641
-21.0000,-18.0000,10799.44,0.043198
-18.0000,-15.0000,12889.34,0.051557
-15.0000,-12.0000,14743.80,0.058975
-12.0000,-9.0000,16236.72,0.064947
-9.0000,-6.0000,17341.27,0.069365
-6.0000,-3.0000,18171.01,0.072684
-3.0000,0.0000,18554.95,0.074220
0.0000,3.0000,18532.81,0.074131
3.0000,6.0000,18105.13,0.072421
6.0000,9.0000,17294.36,0.069177
9.0000,12.0000,16107.87,0.064431
12.0000,15.0000,14661.09,0.058644
15.0000,18.0000,12769.33,0.051077
18.0000,21.0000,10671.26,0.042685
21.0000,24.0000,8283.35,0.033133
24.0000,27.0000,5651.63,0.022607
27.0000,30.0000,2519.48,0.010078
