profile,coord_cm,T_K,series
axial,0.00,302.565,fuel_centreline
axial,0.00,298.956,clad_surface
axial,3.00,307.810,fuel_centreline
axial,3.00,302.332,clad_surface
axial,6.00,317.717,fuel_centreline
axial,6.00,308.626,clad_surface
axial,9.00,326.634,fuel_centreline
axial,9.00,314.275,clad_surface
axial,12.00,334.503,fuel_centreline
axial,12.00,319.273,clad_surface
axial,15.00,341.211,fuel_centreline
axial,15.00,323.541,clad_surface
axial,18.00,347.070,fuel_centreline
axial,18.00,327.279,clad_surface
axial,21.00,351.844,fuel_centreline
axial,21.00,330.339,clad_surface
axial,24.00,355.185,fuel_centreline
axial,24.00,332.496,clad_surface
axial,27.00,357.532,fuel_centreline
axial,27.00,334.035,clad_surface
axial,30.00,358.539,fuel_centreline
axial,30.00,334.734,clad_surface
axial,33.00,357.818,fuel_centreline
axial,33.00,334.346,clad_surface
axial,36.00,356.003,fuel_centreline
axial,36.00,333.276,clad_surface
axial,39.00,353.125,fuel_centreline
axial,39.00,331.541,clad_surface
axial,42.00,348.800,fuel_centreline
axial,42.00,328.898,clad_surface
axial,45.00,343.089,fuel_centreline
axial,45.00,325.384,clad_surface
axial,48.00,336.528,fuel_centreline
axial,48.00,321.341,clad_surface
axial,51.00,329.036,fuel_centreline
axial,51.00,316.713,clad_surface
axial,54.00,320.511,fuel_centreline
axial,54.00,311.443,clad_surface
axial,57.00,311.032,fuel_centreline
axial,57.00,305.553,clad_surface
axial,60.00,305.984,fuel_centreline
axial,60.00,302.427,clad_surface
radial_midplane,0.1500,358.539,fuel
radial_midplane,0.4500,357.426,fuel
radial_midplane,0.7500,355.637,fuel
radial_midplane,1.0500,351.552,fuel
radial_midplane,1.3500,346.059,fuel
radial_midplane,1.6000,341.456,fuel
radial_midplane,1.7575,336.145,fuel
radial_midplane,1.8300,335.790,clad
radial_midplane,1.8555,334.734,clad
