time_s,power_W,Tfuel_avg_K
100.01,251517.1,511.6998
100.02167,254076.5,511.7
100.03306,256899.5,511.7014
100.04321,259555.4,511.7046
100.05293,262184.7,511.7092
100.06244,264825.6,511.7152
100.07195,267528.2,511.7227
100.08126,270229.4,511.7317
100.09056,272988.5,511.742
100.09966,275742.0,511.7539
100.10876,278553.2,511.767
100.11765,281355.9,511.7817
100.12654,284216.4,511.7975
100.13523,287065.8,511.8149
100.14391,289973.1,511.8333
100.15239,292866.4,511.8533
100.16087,295817.9,511.8743
100.16935,298828.4,511.8967
100.17761,301819.6,511.9207
100.18588,304870.1,511.9455
100.19415,307981.0,511.9719
100.20219,311066.5,511.9997
100.21024,314212.6,512.0283
100.21829,317420.2,512.0584
100.22612,320595.4,512.0901
100.23394,323832.2,512.1223
100.24177,327131.4,512.1561
100.24936,330390.3,512.1913
100.25696,333711.4,512.2271
100.26455,337095.5,512.2643
100.27215,340543.5,512.303
100.2795,343937.3,512.3432
100.28685,347395.0,512.3837
100.2942,350917.2,512.4256
100.30155,354504.7,512.4691
100.30864,358020.8,512.5141
100.31572,361602.0,512.559
100.32281,365248.7,512.6054
100.3299,368961.7,512.6533
100.33699,372741.9,512.7027
100.34378,376420.3,512.7537
100.35057,380165.6,512.8042
100.35736,383977.8,512.8561
100.36416,387857.6,512.9095
100.37095,391805.7,512.9644
100.37774,395823.3,513.0209
100.38453,399911.7,513.079
100.39095,403825.2,513.1387
100.39736,407808.4,513.1967
100.40378,411860.9,513.2562
100.41019,415982.8,513.3171
100.41661,420174.7,513.3797
100.42302,424437.6,513.4437
100.42944,428772.3,513.5094
100.43585,433180.2,513.5767
100.44227,437662.3,513.6456
100.44868,442220.0,513.7163
100.4551,446854.6,513.7886
100.46151,451567.5,513.8626
100.46793,456359.9,513.9384
100.47434,461233.4,514.016
100.48076,466189.3,514.0955
100.48717,471228.9,514.1767
100.49359,476353.8,514.2599
100.5,481565.5,514.345
100.50588,484667.6,514.432
100.51265,486896.5,514.5136
100.52077,488424.3,514.6087
100.53055,489332.7,514.7237
100.54229,489723.0,514.8628
100.55659,489723.1,515.03
100.57365,489383.9,515.2337
100.59395,488767.4,515.4758
100.61784,487873.9,515.7628
100.64723,486791.7,516.0984
100.68251,485318.6,516.5083
100.72787,483604.7,516.9959
100.78229,480990.5,517.6157
100.85486,478012.3,518.3498
100.92743,472357.7,519.3106
101.0,466330.8,520.2522
101.05556,459784.3,521.1632
101.09596,454722.2,521.8371
101.13269,451237.6,522.3095
101.1735,448514.2,522.7265
101.22015,445810.0,523.1799
101.27612,442885.5,523.6889
101.35074,439634.6,524.2882
101.42537,434755.9,525.0702
101.5,429779.6,525.8337
101.5625,424779.3,526.5713
101.61719,420684.6,527.1676
101.67188,417318.8,527.6708
101.7375,414257.6,528.1588
101.80312,410662.6,528.7289
101.86875,407087.1,529.2845
101.93437,403612.8,529.8236
102.0,400248.4,530.3464
102.07143,397018.3,530.8534
102.15714,393687.0,531.3883
102.24286,389770.2,532.0103
102.32857,385922.1,532.612
102.41429,382220.2,533.1903
102.5,378667.3,533.7457
102.6,375266.3,534.2793
102.7,371493.2,534.8768
102.8,367831.6,535.4505
102.9,364329.2,535.9981
103.0,360983.1,536.5205
103.1,357785.0,537.019
103.2,354726.8,537.4945
103.3,351800.9,537.9481
103.4,349000.0,538.3808
103.5,346317.6,538.7936
103.625,343658.3,539.1873
103.75,340622.2,539.656
103.875,337689.1,540.1016
104.0,334898.9,540.5214
104.125,332247.5,540.9163
104.25,329727.3,541.2877
104.375,327330.7,541.6367
104.5,325050.7,541.9646
104.66667,322688.4,542.2724
104.83333,319976.7,542.6567
105.0,317387.9,543.0142
105.16667,314956.7,543.3415
105.33333,312676.5,543.6403
105.5,310537.8,543.9125
105.66667,308531.7,544.1598
105.83333,306649.6,544.3839
106.0,304883.9,544.5863
